Theme,Idea1,Idea2,Idea3
Signal lost,Fix the Radio Tower to Progress,Fix the Network,
Parallel worlds,One world get worse as the other one gets better.,Split Reason(Things in one world affect the other),
Moving fortress,?,Goliath,
Running out of power,Super Battery Man,Find an outlet!,
You are alone,?,The Last Light,
Start with nothing,Find your clothes,Rags to Riches,
Machines,Sysadmin,Cleanbot 2.0,
Running out of space,Clean your Room!,Moving Guys,
On / Off,Sysadmin,Lights Out!,
Connections,Network Guys,The Startup Game,
Protect it,?,The Land Stand ( Knight protecting princess or something…?),
You are not the main character,Play as an NPC,Interactive Story Teller,
1 vs 100,Century Slayer,?,
It spreads,Help cure contagion in a hospital,Viral Video,
Different perspective,Play as an NPC,Interactive Story Teller,
1 HP,RPG Puzzle Battle,It’s not over yet!,
